,name,site_url,country,bias,factual,press_freedom,media_type,popularity,MBFC_credibility,image_url,page_url,biaser
71,Democracy Guardian,https://democracyguardian.com,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/democracy-guardian/,mediabiasfactcheck.com
72,Democracy Journal,https://democracyjournal.org/,Usa,Left,High,N/A,Journal,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/democracy-journal/,mediabiasfactcheck.com
73,Democracy Now,https://www.democracynow.org/,Usa,Left biased,High,N/A,"Tv station, radio",Medium,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/democracy-now/,mediabiasfactcheck.com
74,Democratic Underground,https://www.democraticunderground.com/,Usa,Left,Mixed,N/A,Website,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/democratic-underground/,mediabiasfactcheck.com
75,Deshabhimani,https://www.deshabhimani.com/,India,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/deshabhimani/,mediabiasfactcheck.com
76,DeSmogBlog,https://www.desmogblog.com/,Usa,Left,High,N/A,Organization/foundation,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left12.png,https://mediabiasfactcheck.com/desmog/,mediabiasfactcheck.com
77,Detroit Metro Times,https://www.metrotimes.com,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/detroit-metro-times/,mediabiasfactcheck.com
78,Dissent Magazine,https://www.dissentmagazine.org/,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/dissent-magazine/,mediabiasfactcheck.com
79,Drudge Retort,https://drudge.com/,N/A,Left,N/A,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/drudge-retort/,mediabiasfactcheck.com
80,Earth First Journal,http://earthfirstjournal.org/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/earth-first-journal/,mediabiasfactcheck.com
81,Ecowatch,https://www.ecowatch.com,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/ecowatch/,mediabiasfactcheck.com
82,EgbertoWillies,https://egbertowillies.com/,Usa,Left,High,N/A,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/egbertowillies/,mediabiasfactcheck.com
83,Electoral-Vote.com,https://www.electoral-vote.com,Netherlands,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left11.png,https://mediabiasfactcheck.com/electoral-vote-com/,mediabiasfactcheck.com
84,Electronic Intifada,https://electronicintifada.net/,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/electronic-intifada/,mediabiasfactcheck.com
85,Elite Daily,https://elitedaily.com/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left12.png,https://mediabiasfactcheck.com/elite-daily/,mediabiasfactcheck.com
86,ELLE Magazine,www.elle.com,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/elle-magazine/,mediabiasfactcheck.com
87,Esquire Magazine,https://www.esquire.com,Usa,Left,Mixed,Mostly free,Magazine,High,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/esquire-magazine/,mediabiasfactcheck.com
88,Everyday Feminism,https://everydayfeminism.com/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left9.png,https://mediabiasfactcheck.com/everyday-feminism/,mediabiasfactcheck.com
89,Evonomics,https://evonomics.com/,Usa,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/evonomics/,mediabiasfactcheck.com
90,ExtraNewsFeed,https://extranewsfeed.com,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/extranewsfeed/,mediabiasfactcheck.com
91,Feminist Current,http://www.feministcurrent.com,Canada,Left,Mixed,Mostly free,Website,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left11.png,https://mediabiasfactcheck.com/feminist-current/,mediabiasfactcheck.com
92,Feministing,http://feministing.com/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/feministing/,mediabiasfactcheck.com
93,The Fifth Column,https://thefifthcolumnnews.com/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/fifth-column-news/,mediabiasfactcheck.com
94,Fifth Estate,https://www.fifthestate.org/,Usa,Left,High,N/A,Magazine,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left8.png,https://mediabiasfactcheck.com/fifth-estate/,mediabiasfactcheck.com
95,Finnish News,https://www.finnishnews.fi/,Finland,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left5.png,https://mediabiasfactcheck.com/finnish-news/,mediabiasfactcheck.com
96,Food and Water Watch,https://www.foodandwaterwatch.org,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/food-and-water-watch/,mediabiasfactcheck.com
97,Foreign Policy Journal,https://www.foreignpolicyjournal.com,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/foreign-policy-journal/,mediabiasfactcheck.com
98,Foreign Policy News,http://foreignpolicynews.org,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/foreign-policy-news/,mediabiasfactcheck.com
99,FreePress.org,https://freepress.org/,Usa,Far left,Mostly factual,Mostly free,Organization/foundation,Minimal,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/free-press-2/,mediabiasfactcheck.com
100,Free Rein News,http://frnewsreport.com,Unknown,Left,High,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/free-rein-report/,mediabiasfactcheck.com
101,Freedom From Religion Foundation (FFRF),https://ffrf.org/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left10.png,https://mediabiasfactcheck.com/freedom-religion-foundation-ffrf/,mediabiasfactcheck.com
102,Freedom News and Journal,https://freedomnews.org.uk/,United kingdom,Left,High,Mostly free,Website,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left3.png,https://mediabiasfactcheck.com/freedom-news-and-journal/,mediabiasfactcheck.com
103,Front Page Live,https://www.frontpagelive.com,Usa,Left,Mostly factual,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left4.png,https://mediabiasfactcheck.com/front-page-live/,mediabiasfactcheck.com
104,FStv (freespeech.org),https://www.freespeech.org/,Usa,Left,Mixed,N/A,N/A,N/A,N/A,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left7.png,https://mediabiasfactcheck.com/fstv-freespeech-org/,mediabiasfactcheck.com
105,Gawker,https://www.gawker.com/,Usa,Left,Mixed,Mostly free,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left10.png,https://mediabiasfactcheck.com/gawker-bias/,mediabiasfactcheck.com
106,Gay City News,https://gaycitynews.com/,Usa,Left,High,N/A,Newspaper,Minimal,High,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left6.png,https://mediabiasfactcheck.com/gay-city-news-bias/,mediabiasfactcheck.com
107,Gay Star News,https://www.gaystarnews.com/,United kingdom,Left,Mixed,N/A,Website,Medium,Medium,https://i0.wp.com/mediabiasfactcheck.com/wp-content/uploads/2016/12/left2.png,https://mediabiasfactcheck.com/gay-star-news/,mediabiasfactcheck.com
